#K-Path     Energy-Level
#Band-index    1
  0.000      -21.1984
  0.010      -21.1984
  0.020      -21.1984
  0.031      -21.1983
  0.041      -21.1983
  0.051      -21.1983
  0.061      -21.1983
  0.071      -21.1983
  0.081      -21.1983
  0.092      -21.1983
  0.102      -21.1983
  0.112      -21.1983
  0.122      -21.1983
  0.132      -21.1983
  0.143      -21.1983
  0.153      -21.1983
  0.163      -21.1983
  0.173      -21.1983
  0.183      -21.1983
  0.194      -21.1983
  0.204      -21.1983
  0.214      -21.1983
  0.224      -21.1983
  0.234      -21.1983
  0.244      -21.1982
  0.255      -21.1982
  0.265      -21.1982
  0.275      -21.1982
  0.285      -21.1982
  0.295      -21.1982
  0.306      -21.1982
  0.316      -21.1982
  0.326      -21.1982
  0.336      -21.1982
  0.346      -21.1982
  0.357      -21.1982
  0.367      -21.1981
  0.377      -21.1981
  0.387      -21.1981
  0.397      -21.1981
  0.407      -21.1981
  0.418      -21.1981
  0.428      -21.1981
  0.438      -21.1981
  0.448      -21.1981
  0.458      -21.1981
  0.469      -21.1981
  0.479      -21.1981
  0.489      -21.1980
  0.499      -21.1980
  0.509      -21.1980
  0.520      -21.1980
  0.530      -21.1980
  0.540      -21.1980
  0.550      -21.1980
  0.560      -21.1980
  0.570      -21.1980
  0.581      -21.1980
  0.591      -21.1980
  0.601      -21.1980
  0.611      -21.1980
  0.621      -21.1980
  0.632      -21.1980
  0.642      -21.1980
  0.652      -21.1980
  0.662      -21.1980
  0.672      -21.1980
  0.682      -21.1980
  0.693      -21.1980
  0.693      -21.1980
  0.703      -21.1980
  0.714      -21.1980
  0.724      -21.1980
  0.734      -21.1980
  0.745      -21.1980
  0.755      -21.1980
  0.766      -21.1980
  0.776      -21.1980
  0.786      -21.1980
  0.797      -21.1980
  0.807      -21.1980
  0.818      -21.1980
  0.828      -21.1980
  0.839      -21.1980
  0.849      -21.1980
  0.859      -21.1980
  0.870      -21.1980
  0.880      -21.1980
  0.891      -21.1980
  0.901      -21.1980
  0.912      -21.1981
  0.922      -21.1981
  0.932      -21.1981
  0.943      -21.1981
  0.953      -21.1981
  0.964      -21.1981
  0.974      -21.1981
  0.984      -21.1981
  0.995      -21.1981
  1.005      -21.1981
  1.016      -21.1981
  1.026      -21.1981
  1.037      -21.1981
  1.047      -21.1981
  1.057      -21.1981
  1.068      -21.1981
  1.078      -21.1981
  1.089      -21.1981
  1.099      -21.1981
  1.110      -21.1981
  1.120      -21.1981
  1.130      -21.1982
  1.141      -21.1982
  1.151      -21.1982
  1.162      -21.1982
  1.172      -21.1982
  1.182      -21.1982
  1.182      -21.1982
  1.193      -21.1982
  1.203      -21.1982
  1.213      -21.1982
  1.223      -21.1982
  1.233      -21.1982
  1.244      -21.1982
  1.254      -21.1982
  1.264      -21.1982
  1.274      -21.1982
  1.284      -21.1982
  1.295      -21.1982
  1.305      -21.1982
  1.315      -21.1982
  1.325      -21.1982
  1.335      -21.1982
  1.345      -21.1982
  1.356      -21.1982
  1.366      -21.1982
  1.376      -21.1982
  1.386      -21.1982
  1.396      -21.1982
  1.407      -21.1982
  1.417      -21.1983
  1.427      -21.1983
  1.437      -21.1983
  1.447      -21.1983
  1.457      -21.1983
  1.468      -21.1983
  1.478      -21.1983
  1.488      -21.1983
  1.498      -21.1983
  1.508      -21.1983
  1.519      -21.1983
  1.529      -21.1984
  1.539      -21.1984
  1.549      -21.1984
  1.559      -21.1984
  1.570      -21.1984
  1.580      -21.1984
  1.590      -21.1984
  1.600      -21.1984
  1.610      -21.1984
  1.620      -21.1984
  1.631      -21.1984
  1.641      -21.1985
  1.651      -21.1985
  1.661      -21.1985
  1.671      -21.1985
  1.682      -21.1985
  1.692      -21.1985
  1.702      -21.1985
  1.712      -21.1985
