# Kpath    Energy-Level (in eV)
# Band    1
       0.00000     -13.77017
       0.02314     -13.76857
       0.04627     -13.76376
       0.06941     -13.75576
       0.09255     -13.74457
       0.11568     -13.73018
       0.13882     -13.71261
       0.16196     -13.69185
       0.18510     -13.66793
       0.20823     -13.64083
       0.23137     -13.61060
       0.25451     -13.57722
       0.27764     -13.54072
       0.30078     -13.50111
       0.32392     -13.45841
       0.34705     -13.41265
       0.37019     -13.36384
       0.39333     -13.31201
       0.41646     -13.25718
       0.43960     -13.19941
       0.46274     -13.13870
       0.48588     -13.07512
       0.50901     -13.00871
       0.53215     -12.93952
       0.55529     -12.86761
       0.57842     -12.79304
       0.60156     -12.71589
       0.62470     -12.63625
       0.64783     -12.55424
       0.67097     -12.46995
       0.69411     -12.38354
       0.71725     -12.29514
       0.74038     -12.20497
       0.76352     -12.11322
       0.78666     -12.02018
       0.80979     -11.92615
       0.83293     -11.83151
       0.85607     -11.73671
       0.87920     -11.64231
       0.90234     -11.54898
       0.92548     -11.45753
       0.94861     -11.36896
       0.97175     -11.28446
       0.99489     -11.20547
       1.01803     -11.13365
       1.04116     -11.07088
       1.06430     -11.01914
       1.08744     -10.98041
       1.11057     -10.95639
       1.13371     -10.94824
       1.13371     -10.94824
       1.14707     -10.94780
       1.16043     -10.94648
       1.17378     -10.94429
       1.18714     -10.94121
       1.20050     -10.93726
       1.21386     -10.93245
       1.22722     -10.92677
       1.24057     -10.92024
       1.25393     -10.91285
       1.26729     -10.90462
       1.28065     -10.89556
       1.29401     -10.88568
       1.30737     -10.87499
       1.32072     -10.86350
       1.33408     -10.85123
       1.34744     -10.83819
       1.36080     -10.82441
       1.37416     -10.80990
       1.38751     -10.79469
       1.40087     -10.77880
       1.41423     -10.76225
       1.42759     -10.74508
       1.44095     -10.72732
       1.45430     -10.70900
       1.46766     -10.69017
       1.48102     -10.67087
       1.49438     -10.65114
       1.50774     -10.63104
       1.52110     -10.61063
       1.53445     -10.58997
       1.54781     -10.56912
       1.56117     -10.54818
       1.57453     -10.52721
       1.58789     -10.50632
       1.60124     -10.48561
       1.61460     -10.46518
       1.62796     -10.44517
       1.64132     -10.42570
       1.65468     -10.40692
       1.66803     -10.38900
       1.68139     -10.37210
       1.69475     -10.35641
       1.70811     -10.34211
       1.72147     -10.32941
       1.73483     -10.31854
       1.74818     -10.30970
       1.76154     -10.30312
       1.77490     -10.29902
       1.78826     -10.29761
       1.78826     -10.29761
       1.81497     -10.30362
       1.84169     -10.32246
       1.86841     -10.35492
       1.89512     -10.40117
       1.92184     -10.46071
       1.94856     -10.53253
       1.97527     -10.61520
       2.00199     -10.70711
       2.02870     -10.80660
       2.05542     -10.91209
       2.08214     -11.02215
       2.10885     -11.13549
       2.13557     -11.25104
       2.16229     -11.36785
       2.18900     -11.48512
       2.21572     -11.60217
       2.24243     -11.71845
       2.26915     -11.83346
       2.29587     -11.94681
       2.32258     -12.05815
       2.34930     -12.16718
       2.37602     -12.27366
       2.40273     -12.37736
       2.42945     -12.47810
       2.45616     -12.57570
       2.48288     -12.67003
       2.50960     -12.76097
       2.53631     -12.84840
       2.56303     -12.93222
       2.58974     -13.01237
       2.61646     -13.08874
       2.64318     -13.16129
       2.66989     -13.22994
       2.69661     -13.29466
       2.72333     -13.35539
       2.75004     -13.41208
       2.77676     -13.46471
       2.80347     -13.51324
       2.83019     -13.55763
       2.85691     -13.59787
       2.88362     -13.63393
       2.91034     -13.66580
       2.93706     -13.69345
       2.96377     -13.71686
       2.99049     -13.73604
       3.01720     -13.75096
       3.04392     -13.76163
       3.07064     -13.76803
       3.09735     -13.77017
# Band    2
       3.09735      -4.22270
       3.07064      -4.22039
       3.04392      -4.21345
       3.01720      -4.20188
       2.99049      -4.18569
       2.96377      -4.16490
       2.93706      -4.13950
       2.91034      -4.10952
       2.88362      -4.07495
       2.85691      -4.03582
       2.83019      -3.99215
       2.80347      -3.94396
       2.77676      -3.89127
       2.75004      -3.83411
       2.72333      -3.77251
       2.69661      -3.70650
       2.66989      -3.71966
       2.64318      -3.90929
       2.61646      -4.09948
       2.58974      -4.28964
       2.56303      -4.47926
       2.53631      -4.66786
       2.50960      -4.85503
       2.48288      -5.04040
       2.45616      -5.22360
       2.42945      -5.40431
       2.40273      -5.58221
       2.37602      -5.75699
       2.34930      -5.92836
       2.32258      -6.09601
       2.29587      -6.25964
       2.26915      -6.41890
       2.24243      -6.57346
       2.21572      -6.72293
       2.18900      -6.86689
       2.16229      -7.00486
       2.13557      -7.13631
       2.10885      -7.26063
       2.08214      -7.37713
       2.05542      -7.48502
       2.02870      -7.58344
       2.00199      -7.67147
       1.97527      -7.74818
       1.94856      -7.81276
       1.92184      -7.86463
       1.89512      -7.90368
       1.86841      -7.93045
       1.84169      -7.94636
       1.81497      -7.95366
       1.78826      -7.95535
       1.78826      -7.95535
       1.77490      -7.95514
       1.76154      -7.95478
       1.74818      -7.95464
       1.73483      -7.95507
       1.72147      -7.95636
       1.70811      -7.95872
       1.69475      -7.96232
       1.68139      -7.96723
       1.66803      -7.97350
       1.65468      -7.98111
       1.64132      -7.99001
       1.62796      -8.00009
       1.61460      -8.01125
       1.60124      -8.02337
       1.58789      -8.03631
       1.57453      -8.04995
       1.56117      -8.06416
       1.54781      -8.07882
       1.53445      -8.09380
       1.52110      -8.10900
       1.50774      -8.12433
       1.49438      -8.13968
       1.48102      -8.15497
       1.46766      -8.17013
       1.45430      -8.18509
       1.44095      -8.19978
       1.42759      -8.21415
       1.41423      -8.22814
       1.40087      -8.24173
       1.38751      -8.25485
       1.37416      -8.26746
       1.36080      -8.27956
       1.34744      -8.29109
       1.33408      -8.30204
       1.32072      -8.31238
       1.30737      -8.32209
       1.29401      -8.33114
       1.28065      -8.33953
       1.26729      -8.34723
       1.25393      -8.35424
       1.24057      -8.36054
       1.22722      -8.36613
       1.21386      -8.37098
       1.20050      -8.37510
       1.18714      -8.37848
       1.17378      -8.38112
       1.16043      -8.38300
       1.14707      -8.38413
       1.13371      -8.38451
       1.13371      -8.38451
       1.11057      -8.37369
       1.08744      -8.34167
       1.06430      -8.28962
       1.04116      -8.21925
       1.01803      -8.13254
       0.99489      -8.03152
       0.97175      -7.91810
       0.94861      -7.79396
       0.92548      -7.66060
       0.90234      -7.51925
       0.87920      -7.37095
       0.85607      -7.21660
       0.83293      -7.05694
       0.80979      -6.89260
       0.78666      -6.72411
       0.76352      -6.55196
       0.74038      -6.37657
       0.71725      -6.19833
       0.69411      -6.01759
       0.67097      -5.83468
       0.64783      -5.64994
       0.62470      -5.46366
       0.60156      -5.27619
       0.57842      -5.08783
       0.55529      -4.89891
       0.53215      -4.70979
       0.50901      -4.52083
       0.48588      -4.33240
       0.46274      -4.14496
       0.43960      -3.95893
       0.41646      -3.77482
       0.39333      -3.72538
       0.37019      -3.78170
       0.34705      -3.83473
       0.32392      -3.88444
       0.30078      -3.93080
       0.27764      -3.97379
       0.25451      -4.01341
       0.23137      -4.04963
       0.20823      -4.08243
       0.18510      -4.11182
       0.16196      -4.13777
       0.13882      -4.16028
       0.11568      -4.17934
       0.09255      -4.19494
       0.06941      -4.20708
       0.04627      -4.21576
       0.02314      -4.22097
       0.00000      -4.22270
# Band    3
       0.00000      -1.66742
