# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   0.000   -13.770  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   0.023   -13.769  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   0.046   -13.764  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   0.069   -13.756  0.211  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.211
   0.093   -13.745  0.211  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   0.116   -13.730  0.210  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   0.139   -13.713  0.210  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.211
   0.162   -13.692  0.209  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.211
   0.185   -13.668  0.208  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.211
   0.208   -13.641  0.208  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.211
   0.231   -13.611  0.207  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.211
   0.255   -13.577  0.206  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.211
   0.278   -13.541  0.205  0.002  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.211
   0.301   -13.501  0.204  0.002  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.211
   0.324   -13.458  0.203  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.211
   0.347   -13.413  0.201  0.002  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.211
   0.370   -13.364  0.200  0.003  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.211
   0.393   -13.312  0.198  0.003  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.211
   0.416   -13.257  0.197  0.003  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.211
   0.440   -13.199  0.195  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.211
   0.463   -13.139  0.193  0.004  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.210
   0.486   -13.075  0.191  0.005  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.210
   0.509   -13.009  0.189  0.005  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.210
   0.532   -12.940  0.187  0.006  0.000  0.017  0.000  0.000  0.000  0.000  0.000  0.210
   0.555   -12.868  0.184  0.006  0.000  0.019  0.000  0.000  0.000  0.000  0.000  0.209
   0.578   -12.793  0.182  0.007  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.209
   0.602   -12.716  0.179  0.007  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.209
   0.625   -12.636  0.176  0.008  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.208
   0.648   -12.554  0.173  0.009  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.208
   0.671   -12.470  0.170  0.009  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.207
   0.694   -12.384  0.167  0.010  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.206
   0.717   -12.295  0.163  0.011  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.206
   0.740   -12.205  0.160  0.011  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.205
   0.764   -12.113  0.155  0.012  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.204
   0.787   -12.020  0.151  0.013  0.000  0.039  0.000  0.000  0.000  0.000  0.000  0.203
   0.810   -11.926  0.147  0.014  0.000  0.041  0.000  0.000  0.000  0.000  0.000  0.201
   0.833   -11.832  0.142  0.015  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.200
   0.856   -11.737  0.136  0.015  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.198
   0.879   -11.642  0.131  0.016  0.000  0.049  0.000  0.000  0.000  0.000  0.000  0.196
   0.902   -11.549  0.125  0.017  0.000  0.052  0.000  0.000  0.000  0.000  0.000  0.194
   0.925   -11.458  0.119  0.018  0.000  0.055  0.000  0.000  0.000  0.000  0.000  0.192
   0.949   -11.369  0.112  0.019  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.189
   0.972   -11.284  0.105  0.020  0.000  0.061  0.000  0.000  0.000  0.000  0.000  0.187
   0.995   -11.205  0.098  0.021  0.000  0.064  0.000  0.000  0.000  0.000  0.000  0.184
   1.018   -11.134  0.091  0.022  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.181
   1.041   -11.071  0.085  0.023  0.000  0.070  0.000  0.000  0.000  0.000  0.000  0.178
   1.064   -11.019  0.079  0.024  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.175
   1.087   -10.980  0.074  0.025  0.000  0.074  0.000  0.000  0.000  0.000  0.000  0.173
   1.111   -10.956  0.071  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.134   -10.948  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.134   -10.948  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.147   -10.948  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.160   -10.946  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.174   -10.944  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.187   -10.941  0.070  0.025  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.171
   1.201   -10.937  0.069  0.026  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.170
   1.214   -10.932  0.069  0.026  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.170
   1.227   -10.927  0.069  0.026  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.170
   1.241   -10.920  0.068  0.026  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.170
   1.254   -10.913  0.068  0.026  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.170
   1.267   -10.905  0.067  0.027  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.169
   1.281   -10.896  0.066  0.027  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.169
   1.294   -10.886  0.066  0.027  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.169
   1.307   -10.875  0.065  0.028  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.169
   1.321   -10.863  0.064  0.028  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.168
   1.334   -10.851  0.063  0.029  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.168
   1.347   -10.838  0.062  0.029  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.167
   1.361   -10.824  0.061  0.030  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.167
