# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   0.000   -13.770  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   0.023   -13.769  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   0.046   -13.764  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   0.069   -13.756  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   0.093   -13.745  0.387  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.387
   0.116   -13.730  0.387  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.387
   0.139   -13.713  0.387  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.388
   0.162   -13.692  0.387  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.388
   0.185   -13.668  0.387  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.388
   0.208   -13.641  0.386  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.389
   0.231   -13.611  0.386  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.389
   0.255   -13.577  0.386  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.390
   0.278   -13.541  0.386  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.390
   0.301   -13.501  0.386  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.391
   0.324   -13.458  0.386  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.392
   0.347   -13.413  0.386  0.002  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.392
   0.370   -13.364  0.386  0.002  0.000  0.005  0.000  0.000  0.000  0.000  0.000  0.393
   0.393   -13.312  0.386  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.394
   0.416   -13.257  0.386  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.395
   0.440   -13.199  0.386  0.002  0.000  0.007  0.000  0.000  0.000  0.000  0.000  0.396
   0.463   -13.139  0.387  0.003  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.397
   0.486   -13.075  0.387  0.003  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.398
   0.509   -13.009  0.387  0.003  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.399
   0.532   -12.940  0.387  0.003  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.401
   0.555   -12.868  0.388  0.004  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.402
   0.578   -12.793  0.389  0.004  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.404
   0.602   -12.716  0.389  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.405
   0.625   -12.636  0.390  0.004  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.407
   0.648   -12.554  0.391  0.004  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.409
   0.671   -12.470  0.393  0.005  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.411
   0.694   -12.384  0.394  0.005  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.413
   0.717   -12.295  0.396  0.005  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.416
   0.740   -12.205  0.398  0.005  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.418
   0.764   -12.113  0.401  0.005  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.421
   0.787   -12.020  0.403  0.005  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.424
   0.810   -11.926  0.407  0.005  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.428
   0.833   -11.832  0.410  0.005  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.431
   0.856   -11.737  0.415  0.005  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.435
   0.879   -11.642  0.420  0.005  0.000  0.015  0.000  0.000  0.000  0.000  0.000  0.440
   0.902   -11.549  0.425  0.005  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.445
   0.925   -11.458  0.432  0.004  0.000  0.013  0.000  0.000  0.000  0.000  0.000  0.450
   0.949   -11.369  0.439  0.004  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.455
   0.972   -11.284  0.446  0.004  0.000  0.011  0.000  0.000  0.000  0.000  0.000  0.461
   0.995   -11.205  0.454  0.003  0.000  0.009  0.000  0.000  0.000  0.000  0.000  0.467
   1.018   -11.134  0.463  0.003  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.473
   1.041   -11.071  0.471  0.002  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.478
   1.064   -11.019  0.478  0.001  0.000  0.004  0.000  0.000  0.000  0.000  0.000  0.484
   1.087   -10.980  0.484  0.001  0.000  0.003  0.000  0.000  0.000  0.000  0.000  0.488
   1.111   -10.956  0.488  0.001  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.490
   1.134   -10.948  0.489  0.000  0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.491
