#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -14.607  0.000  0.000  0.000  0.000  0.167  0.258  0.000  0.259  0.167  0.853
   0.009   -14.607  0.000  0.000  0.000  0.000  0.165  0.255  0.000  0.263  0.170  0.853
   0.018   -14.607  0.000  0.000  0.000  0.000  0.163  0.251  0.000  0.266  0.173  0.853
   0.027   -14.607  0.000  0.000  0.000  0.000  0.160  0.247  0.000  0.269  0.175  0.853
   0.036   -14.606  0.000  0.000  0.000  0.000  0.157  0.243  0.000  0.273  0.177  0.853
   0.045   -14.606  0.000  0.000  0.000  0.000  0.155  0.240  0.000  0.277  0.179  0.853
   0.054   -14.606  0.000  0.000  0.000  0.000  0.153  0.236  0.000  0.281  0.182  0.853
   0.063   -14.606  0.000  0.000  0.000  0.000  0.150  0.233  0.000  0.284  0.185  0.853
   0.072   -14.606  0.000  0.000  0.000  0.000  0.148  0.229  0.000  0.287  0.187  0.853
   0.081   -14.606  0.000  0.000  0.000  0.000  0.145  0.225  0.000  0.291  0.189  0.853
   0.090   -14.606  0.000  0.000  0.000  0.000  0.143  0.221  0.002  0.295  0.192  0.853
   0.099   -14.606  0.000  0.000  0.000  0.000  0.140  0.217  0.002  0.299  0.195  0.853
   0.108   -14.606  0.000  0.000  0.000  0.000  0.138  0.213  0.002  0.303  0.197  0.853
   0.117   -14.606  0.000  0.000  0.000  0.000  0.135  0.209  0.002  0.305  0.199  0.853
   0.126   -14.606  0.000  0.000  0.000  0.000  0.133  0.206  0.002  0.309  0.202  0.853
   0.135   -14.606  0.000  0.000  0.000  0.000  0.130  0.202  0.002  0.313  0.205  0.853
   0.144   -14.606  0.000  0.000  0.000  0.000  0.128  0.198  0.002  0.317  0.207  0.853
   0.153   -14.606  0.000  0.000  0.000  0.000  0.125  0.194  0.002  0.321  0.209  0.853
   0.162   -14.606  0.000  0.000  0.000  0.000  0.123  0.190  0.004  0.323  0.213  0.853
   0.170   -14.606  0.000  0.000  0.000  0.000  0.120  0.186  0.004  0.327  0.215  0.853
   0.179   -14.606  0.000  0.000  0.000  0.000  0.118  0.183  0.004  0.331  0.217  0.854
   0.188   -14.606  0.000  0.000  0.000  0.000  0.115  0.179  0.004  0.335  0.219  0.854
   0.197   -14.606  0.000  0.000  0.000  0.000  0.113  0.175  0.004  0.339  0.223  0.855
   0.206   -14.606  0.000  0.000  0.000  0.000  0.110  0.171  0.006  0.341  0.225  0.855
   0.215   -14.606  0.000  0.000  0.000  0.000  0.108  0.167  0.006  0.345  0.227  0.855
   0.224   -14.606  0.000  0.000  0.000  0.000  0.105  0.163  0.006  0.349  0.229  0.855
   0.233   -14.606  0.000  0.000  0.000  0.000  0.103  0.159  0.006  0.351  0.233  0.855
