#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.000   -14.607  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.009   -14.607  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.018   -14.607  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.027   -14.607  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.036   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.045   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.054   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.063   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.072   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.081   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.090   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.099   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.108   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.117   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.126   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.135   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.144   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.153   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.162   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.170   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.179   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.188   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.197   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.206   -14.606  0.086  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.215   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.224   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.088
   0.233   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.242   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.251   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.260   -14.606  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.269   -14.605  0.085  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.278   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.287   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.087
   0.296   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.305   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.314   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.323   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.332   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.341   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.350   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.359   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.368   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.377   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.386   -14.605  0.084  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.395   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.404   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.413   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.086
   0.422   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.085
   0.431   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.085
   0.440   -14.605  0.083  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.085
   0.449   -14.605  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.085
   0.458   -14.605  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.085
   0.467   -14.605  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.476   -14.605  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.485   -14.605  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.494   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.503   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.511   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.520   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.529   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.538   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.547   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.556   -14.606  0.082  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.565   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.574   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.583   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.084
   0.592   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.601   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.610   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.619   -14.606  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.628   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.637   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.646   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
   0.655   -14.606  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
